bench,bass_time,cvc5_time,ostrich_time,z3_time
instance00022.smt2,0.62,0.04,1.89,0.06
instance00049.smt2,0.59,0.03,1.79,0.07
instance00052.smt2,0.63,0.03,1.88,0.06
instance00055.smt2,0.58,0.03,1.68,0.06
instance00064.smt2,0.55,0.03,2.01,0.06
instance00073.smt2,0.58,0.04,1.85,0.07
instance00075.smt2,0.59,0.04,1.83,0.15
instance00076.smt2,0.58,0.04,1.67,0.06
instance00079.smt2,0.57,0.03,1.81,0.06
instance00086.smt2,0.58,0.06,1.8,0.08
instance00089.smt2,0.63,0.03,1.94,0.06
instance00097.smt2,0.62,0.03,1.83,0.06
instance00106.smt2,0.57,0.04,1.83,0.06
instance00115.smt2,0.59,0.03,1.82,0.06
instance00141.smt2,0.58,0.04,1.78,0.06
instance00154.smt2,0.57,0.03,1.9,0.06
instance00159.smt2,0.56,0.04,1.61,0.07
instance00180.smt2,0.48,0.03,1.86,0.06
instance00185.smt2,0.56,0.04,1.9,0.07
instance00186.smt2,0.57,0.03,1.91,0.07
instance00209.smt2,0.55,0.03,1.89,0.07
instance00214.smt2,0.57,0.04,1.9,0.06
instance00217.smt2,0.54,0.03,2.02,0.06
instance00219.smt2,0.57,0.03,1.77,0.06
instance00228.smt2,0.58,0.03,2.05,0.06
instance00248.smt2,0.55,0.04,1.86,0.07
instance00259.smt2,0.55,0.04,1.72,0.06
instance00285.smt2,0.61,0.03,1.92,0.07
instance00294.smt2,0.55,0.04,1.62,0.06
instance00302.smt2,0.52,0.04,1.97,0.06
instance00316.smt2,0.55,0.04,1.75,0.08
instance00323.smt2,0.61,0.04,1.86,0.08
instance00328.smt2,0.6,0.03,1.98,0.09
instance00332.smt2,0.57,0.03,1.94,0.07
instance00339.smt2,0.56,0.04,1.97,0.06
instance00355.smt2,0.54,0.05,1.92,0.06
instance00363.smt2,0.55,0.03,1.9,0.07
instance00375.smt2,0.59,0.04,2.0,0.06
instance00380.smt2,0.52,0.04,1.62,0.06
instance00394.smt2,0.56,0.03,1.93,0.06
instance00398.smt2,0.58,0.04,1.67,0.06
instance00400.smt2,0.63,0.03,1.87,0.06
instance00404.smt2,0.59,0.04,1.69,0.06
instance00406.smt2,0.56,0.04,1.92,0.07
instance00418.smt2,0.62,0.04,1.77,0.07
instance00430.smt2,0.55,0.03,1.61,0.07
instance00435.smt2,0.62,0.06,1.91,0.06
instance00463.smt2,0.56,0.02,1.78,0.08
instance00470.smt2,0.61,0.04,1.87,0.07
instance00476.smt2,0.6,0.03,2.11,0.07
instance00480.smt2,0.64,0.04,1.97,0.06
instance00481.smt2,0.55,0.03,1.95,0.07
instance00492.smt2,0.59,0.04,1.71,0.07
instance00495.smt2,0.56,0.03,1.87,0.08
instance00496.smt2,0.55,0.05,1.89,0.08
instance00497.smt2,0.58,0.04,1.99,0.07
instance00501.smt2,0.58,0.05,1.95,0.07
instance00519.smt2,0.55,0.03,1.61,0.06
instance00525.smt2,0.59,0.03,1.9,0.07
instance00530.smt2,0.54,0.03,1.87,0.06
instance00538.smt2,0.6,0.03,1.9,0.06
instance00586.smt2,0.55,0.04,1.93,0.06
instance00588.smt2,0.57,0.03,1.79,0.06
instance00609.smt2,0.54,0.03,1.99,0.06
instance00611.smt2,0.5,0.04,1.7,0.06
instance00617.smt2,0.56,0.04,1.82,0.05
instance00630.smt2,0.56,0.04,1.7,0.05
instance00640.smt2,0.59,0.03,1.9,0.06
instance00642.smt2,0.59,0.03,1.84,0.07
instance00647.smt2,0.57,0.03,1.74,0.07
instance00660.smt2,0.6,0.04,1.8,0.07
instance00661.smt2,0.57,0.04,1.96,0.06
instance00676.smt2,0.59,0.04,1.74,0.06
instance00677.smt2,0.61,0.03,2.01,0.07
instance00679.smt2,0.59,0.03,1.88,0.06
instance00686.smt2,0.55,0.04,1.85,0.06
instance00689.smt2,0.61,0.03,1.85,0.08
instance00713.smt2,0.61,0.04,1.91,0.07
instance00714.smt2,0.63,0.03,1.82,0.07
instance00715.smt2,0.6,0.04,1.79,0.07
instance00722.smt2,0.61,0.04,1.82,0.06
instance00730.smt2,0.6,0.03,1.83,0.07
instance00731.smt2,0.58,0.04,1.87,0.06
instance00740.smt2,0.56,0.02,1.75,0.06
instance00742.smt2,0.56,0.04,1.94,0.07
instance00765.smt2,0.63,0.04,1.87,0.07
instance00774.smt2,0.6,0.04,1.98,0.06
instance00776.smt2,0.49,0.04,1.8,0.07
instance00777.smt2,0.53,0.04,1.91,0.06
