,a-str,,,,cvc5,,,,ostrich,,,,z3-noodler
filename,real,user,sys,mem,real,user,sys,mem,real,user,sys,mem,real,user,sys,mem
instance00022,0.62,0.54,0.03,66956,0.04,0.01,0.01,7136,1.89,1.80,0.08,221060,0.06,0.04,0.01,26268,
instance00049,0.59,0.54,0.03,66496,0.03,0.01,0.00,7136,1.79,1.64,0.12,216928,0.07,0.04,0.01,26268,
instance00052,0.63,0.56,0.04,67804,0.03,0.01,0.00,7136,1.88,1.77,0.09,220132,0.06,0.03,0.01,26268,
instance00055,0.58,0.52,0.04,66904,0.03,0.01,0.00,7140,1.68,1.54,0.12,207168,0.06,0.04,0.01,26272,
instance00064,0.55,0.49,0.03,63752,0.03,0.01,0.00,6292,2.01,1.82,0.16,219160,0.06,0.04,0.00,24484,
instance00073,0.58,0.52,0.03,65280,0.04,0.01,0.00,6288,1.85,1.73,0.11,217416,0.07,0.03,0.01,24484,
instance00075,0.59,0.53,0.04,66848,0.04,0.01,0.00,7140,1.83,1.70,0.12,208120,0.15,0.03,0.01,26268,
instance00076,0.58,0.52,0.03,64912,0.04,0.01,0.00,7140,1.67,1.57,0.09,213096,0.06,0.03,0.01,26272,
instance00079,0.57,0.50,0.03,64300,0.03,0.01,0.00,6292,1.81,1.65,0.13,207196,0.06,0.03,0.01,24484,
instance00086,0.58,0.51,0.05,65376,0.06,0.01,0.01,6292,1.80,1.70,0.09,214436,0.08,0.03,0.01,24484,
instance00089,0.63,0.57,0.05,67300,0.03,0.02,0.00,7140,1.94,1.80,0.12,218500,0.06,0.04,0.01,26276,
instance00097,0.62,0.57,0.04,67344,0.03,0.01,0.00,7136,1.83,1.72,0.10,219220,0.06,0.04,0.01,26268,
instance00106,0.57,0.51,0.04,64216,0.04,0.01,0.00,6292,1.83,1.71,0.08,215944,0.06,0.04,0.01,24484,
instance00115,0.59,0.54,0.04,68148,0.03,0.01,0.01,7136,1.82,1.72,0.09,221136,0.06,0.04,0.01,26268,
instance00141,0.58,0.53,0.04,65160,0.04,0.01,0.00,6288,1.78,1.69,0.08,218988,0.06,0.03,0.01,24484,
instance00154,0.57,0.51,0.04,65020,0.03,0.01,0.00,6296,1.90,1.79,0.09,221860,0.06,0.04,0.01,24484,
instance00159,0.56,0.50,0.04,64060,0.04,0.01,0.00,6300,1.61,1.50,0.10,205836,0.07,0.04,0.01,24484,
instance00180,0.48,0.44,0.03,64984,0.03,0.01,0.00,6296,1.86,1.73,0.10,214928,0.06,0.03,0.01,24484,
instance00185,0.56,0.49,0.05,64268,0.04,0.01,0.00,6292,1.90,1.78,0.11,223112,0.07,0.03,0.01,24484,
instance00186,0.57,0.51,0.04,64144,0.03,0.01,0.00,6292,1.91,1.79,0.10,221108,0.07,0.04,0.01,24484,
instance00209,0.55,0.50,0.03,65436,0.03,0.01,0.00,6296,1.89,1.77,0.11,216468,0.07,0.04,0.01,24484,
