,bass,,,,cvc5,,,,ostrich,,,,z3-noodler
filename,real,user,sys,mem,real,user,sys,mem,real,user,sys,mem,real,user,sys,mem
sub-matching-unsat-12,1.87,1.68,0.12,404084,17.54,16.43,1.05,1691176,,,,,25.34,18.17,7.10,32388,
sub-matching-sat-13,9.07,8.55,0.28,1159280,9.13,8.39,0.71,1139132,,,,,15.79,10.58,5.17,30520,
sub-matching-sat-20,4.19,3.74,0.21,924688,4.03,3.71,0.30,519848,,,,,7.79,4.99,2.75,27808,
sub-matching-sat-15,11.18,10.64,0.33,1426224,13.01,11.97,1.00,1544756,,,,,21.12,14.31,6.75,31716,
sub-matching-unsat-44,2.21,1.93,0.10,389936,12.40,11.51,0.85,1378872,,,,,19.82,13.71,6.06,31460,
sub-matching-unsat-15,5.30,4.86,0.24,1041328,5.05,4.65,0.39,702864,,,,,10.39,6.37,3.55,28144,
sub-matching-unsat-35,2.27,1.95,0.12,407552,12.36,11.52,0.80,1377324,,,,,19.87,13.60,6.21,31348,
sub-matching-sat-4,7.30,6.83,0.27,1193928,10.60,9.87,0.69,1070332,,,,,16.75,11.74,4.96,30812,
sub-matching-unsat-43,1.94,1.64,0.10,397968,7.15,6.53,0.59,1000568,,,,,13.57,8.79,4.74,28820,
sub-matching-sat-21,1.76,1.50,0.08,254588,6.61,6.23,0.36,631324,,,,,10.82,7.56,3.22,28272,
sub-matching-unsat-5,5.23,4.67,0.53,914828,4.64,4.27,0.35,579612,,,,,8.68,5.67,2.99,27792,
sub-matching-sat-14,2.14,1.91,0.19,353172,5.41,4.97,0.43,735768,,,,,10.45,6.81,3.57,28132,
sub-matching-sat-42,2.14,1.95,0.16,307852,6.17,5.70,0.45,769864,,,,,11.50,7.72,3.75,28540,
sub-matching-unsat-28,2.21,2.00,0.16,316816,10.77,10.11,0.62,997820,,,,,16.16,11.48,4.64,30544,
sub-matching-unsat-1,2.08,1.86,0.19,378824,7.33,6.75,0.55,994044,,,,,13.80,9.06,4.69,28884,
sub-matching-sat-25,17.29,16.36,0.87,1446076,17.73,16.78,0.90,1566908,,,,,24.99,18.22,6.70,32092,
sub-matching-sat-6,9.02,8.31,0.66,1034608,6.93,6.36,0.55,914048,,,,,13.62,8.61,4.01,28880,
sub-matching-sat-32,1.97,1.68,0.15,223672,5.02,4.66,0.34,565544,,,,,9.12,6.04,2.94,28092,
sub-matching-sat-22,4.54,4.01,0.43,722528,3.16,2.96,0.19,350640,,,,,5.43,3.77,1.63,26716,
sub-matching-sat-17,17.90,16.84,0.91,1570320,18.15,17.00,1.10,1871248,,,,,25.87,18.80,7.00,32764,
sub-matching-sat-7,14.60,13.71,0.82,1301812,14.57,13.64,0.89,1456784,,,,,21.60,15.36,6.18,31648,
sub-matching-sat-38,2.88,2.55,0.24,429652,11.75,10.97,0.74,1264260,,,,,18.39,12.79,5.52,31032,
sub-matching-unsat-46,1.83,1.61,0.14,208108,7.89,7.48,0.39,669496,,,,,12.08,8.68,3.36,28796,
sub-matching-unsat-7,1.96,1.60,0.20,312880,5.07,4.59,0.45,741460,,,,,10.20,6.56,3.60,28244,
sub-matching-unsat-48,1.96,1.61,0.13,212128,3.72,3.47,0.23,390164,,,,,5.94,3.98,1.93,27300,
sub-matching-unsat-40,2.67,2.36,0.23,418472,10.63,9.76,0.83,1258552,,,,,16.52,10.96,5.51,30740,
sub-matching-unsat-21,2.50,2.11,0.22,372340,17.64,16.65,0.94,1369892,,,,,21.98,16.00,5.91,31736,
sub-matching-unsat-19,2.22,1.85,0.16,274108,9.45,8.93,0.48,674856,,,,,12.28,8.98,3.26,28772,
sub-matching-unsat-18,1.96,1.63,0.14,234972,7.72,7.31,0.37,555208,,,,,10.28,7.46,2.78,28516,
sub-matching-sat-8,15.22,14.18,0.90,1432004,16.58,15.52,0.99,1487628,,,,,22.21,15.78,6.36,31840,
sub-matching-sat-16,7.58,6.83,0.64,1021236,6.05,5.47,0.55,866088,,,,,11.26,7.02,4.16,28520,
sub-matching-unsat-22,2.40,2.04,0.15,288632,13.47,12.69,0.74,1025788,,,,,17.00,12.15,4.80,30836,
sub-matching-unsat-34,2.47,2.10,0.20,434144,7.07,6.44,0.59,993292,,,,,12.76,8.11,4.58,28612,
sub-matching-sat-47,1.68,1.47,0.13,205940,10.15,9.60,0.51,724272,,,,,13.12,9.69,3.39,29136,
sub-matching-unsat-41,2.19,1.89,0.10,311680,12.85,12.11,0.69,1055496,,,,,17.19,12.23,4.80,30688,
sub-matching-unsat-50,2.36,2.14,0.09,300424,14.29,13.42,0.74,1099468,,,,,18.47,13.37,5.05,31108,
sub-matching-sat-48,1.85,1.66,0.09,271008,4.85,4.47,0.36,559456,,,,,8.33,5.35,2.93,27896,
sub-matching-sat-43,2.29,1.97,0.11,295944,6.92,6.44,0.45,689788,,,,,10.75,7.21,3.50,28368,
sub-matching-unsat-10,13.53,13.10,0.32,1434328,17.46,16.30,1.12,1731320,,,,,23.75,16.95,6.74,32436,
sub-matching-sat-30,1.91,1.67,0.08,261788,7.94,7.45,0.46,708864,,,,,11.48,7.95,3.49,28552,
sub-matching-unsat-42,2.25,2.00,0.10,354044,10.12,9.44,0.65,1006588,,,,,14.61,10.22,4.34,29168,
sub-matching-unsat-27,1.99,1.84,0.13,342184,8.49,7.77,0.55,850868,,,,,12.46,8.32,4.09,28680,
sub-matching-sat-9,10.95,10.33,0.39,1318676,14.21,13.27,0.88,1387064,,,,,19.80,13.75,5.99,31724,
sub-matching-unsat-45,2.57,2.30,0.12,421184,8.16,7.60,0.54,902260,,,,,12.94,8.59,4.29,28564,
sub-matching-unsat-2,1.97,1.71,0.08,254484,9.75,9.22,0.48,653140,,,,,12.51,9.19,3.29,28792,
sub-matching-sat-31,2.36,2.05,0.10,355216,5.06,4.58,0.44,718512,,,,,9.69,5.95,3.70,28084,
sub-matching-unsat-32,2.05,1.78,0.08,222260,11.16,10.65,0.47,709656,,,,,13.83,10.33,3.46,29140,
sub-matching-unsat-4,13.14,12.72,0.30,1317020,16.93,15.99,0.89,1328668,,,,,21.46,15.71,5.69,31704,
sub-matching-sat-37,1.94,1.77,0.08,224360,9.86,9.33,0.48,705900,,,,,12.95,9.29,3.61,29156,
sub-matching-sat-26,1.75,1.52,0.07,231308,5.14,4.80,0.31,498412,,,,,8.05,5.37,2.65,27648,
sub-matching-sat-11,7.00,6.54,0.30,1053428,7.06,6.53,0.50,730668,,,,,11.15,7.29,3.82,28476,
sub-matching-sat-33,1.89,1.77,0.07,295500,4.55,4.16,0.37,580204,,,,,8.34,5.19,3.12,27808,
sub-matching-sat-2,4.79,4.47,0.23,925272,5.80,5.42,0.35,537340,,,,,8.86,5.94,2.88,28152,
sub-matching-sat-45,8.57,8.07,0.32,1190924,12.82,11.99,0.79,1166480,,,,,17.75,12.39,5.32,31180,
sub-matching-sat-12,5.49,5.09,0.22,926680,6.31,5.91,0.38,604364,,,,,9.80,6.55,3.22,28220,
sub-matching-sat-44,2.19,1.91,0.10,365124,9.85,9.07,0.75,1125676,,,,,15.17,9.99,5.12,30592,
sub-matching-sat-49,1.80,1.65,0.08,252996,7.01,6.55,0.43,651528,,,,,10.60,7.15,3.40,28416,
