bench,a-str_time,cvc5_time,ostrich_time,z3_time
beasties01.smt2,1.12,1.11,6.94,120
beasties02.smt2,1.22,1.07,7.25,120
beasties03.smt2,1.4,4.55,25.34,120
beasties04.smt2,1.72,12.42,35.41,120
beasties05.smt2,1.37,5.08,23.1,120
beasties06.smt2,1.08,1.06,7.21,120
beasties07.smt2,1.29,1.6,8.58,120
beasties08.smt2,0.98,0.27,6.37,120
beasties09.smt2,1.44,4.62,25.67,120
beasties10.smt2,0.99,0.29,6.01,120
beasties11.smt2,0.86,0.38,6.13,120
beasties12.smt2,0.95,0.14,5.14,120
beasties13.smt2,0.87,0.08,4.87,120
beasties14.smt2,0.95,0.11,5.04,120
beasties15.smt2,1.53,8.1,35.31,120
beasties16.smt2,1.39,2.59,19.1,120
beasties17.smt2,1.34,2.23,14.41,120
beasties18.smt2,1.53,5.15,25.1,120
beasties19.smt2,1.33,3.05,21.01,120
beasties20.smt2,1.42,3.59,22.34,120
beasties21.smt2,1.09,1.52,14.2,120
beasties22.smt2,1.36,3.4,20.22,120
beasties23.smt2,1.24,2.04,9.19,120
beasties24.smt2,1.65,7.55,34.69,120
beasties25.smt2,1.47,3.77,25.07,120
beasties26.smt2,1.2,0.86,8.71,120
beasties27.smt2,1.45,4.18,25.28,120
beasties28.smt2,1.3,1.42,9.17,120
beasties29.smt2,1.46,2.87,22.95,120
beasties30.smt2,1.34,1.77,14.6,120
jxml2sql04.smt2,2.16,120.0,19.48,120
jxml2sql07.smt2,2.4,120.0,8.9,120
jxml2sql09.smt2,2.24,120.0,9.0,120
jxml2sql14.smt2,1.03,51.76,5.55,120
jxml2sql15.smt2,2.26,120.0,9.02,120
jxml2sql16.smt2,2.17,120.0,19.53,120
jxml2sql18.smt2,2.22,120.0,9.21,120
jxml2sql19.smt2,2.07,120.0,9.07,120
jxml2sql20.smt2,2.35,120.0,9.18,120
jxml2sql21.smt2,2.26,120.0,19.36,120
jxml2sql22.smt2,1.33,120.0,6.6,120
jxml2sql23.smt2,2.24,120.0,8.98,120
jxml2sql24.smt2,2.29,120.0,9.16,120
jxml2sql25.smt2,2.25,120.0,8.62,120
jxml2sql26.smt2,2.51,120.0,19.13,120
jxml2sql27.smt2,2.42,120.0,9.09,120
jxml2sql28.smt2,2.13,120.0,9.28,120
jxml2sql29.smt2,2.15,120.0,20.34,120
jxml2sql30.smt2,2.12,120.0,8.77,120
jxml2sql31.smt2,2.04,120.0,8.67,120
jxml2sql32.smt2,2.2,120.0,9.04,120
jxml2sql33.smt2,2.11,120.0,8.62,120
jxml2sql34.smt2,2.18,120.0,8.64,120
mathQuizGame01.smt2,1.8,120.0,13.53,120
mathQuizGame02.smt2,1.75,120.0,6.01,120
mathQuizGame03.smt2,0.86,36.8,4.77,120
mathQuizGame04.smt2,1.22,39.48,5.34,120
mathQuizGame09.smt2,0.76,39.22,5.02,120
mathQuizGame10.smt2,1.02,23.6,5.56,120
mathQuizGame12.smt2,1.33,26.69,7.55,120
mathQuizGame13.smt2,2.18,54.02,6.87,120
mathQuizGame14.smt2,1.42,29.09,7.62,120
mathQuizGame15.smt2,1.99,53.82,6.97,120
mathQuizGame16.smt2,1.41,24.32,7.45,120
mathQuizGame17.smt2,1.97,52.46,6.39,120
mathQuizGame19.smt2,1.46,42.69,7.6,120
mathQuizGame20.smt2,3.02,61.8,7.3,120
mathQuizGame21.smt2,1.59,38.71,7.4,120
mathQuizGame22.smt2,2.38,64.08,6.53,120
mathQuizGame23.smt2,1.51,52.49,7.4,120
mathQuizGame24.smt2,2.18,60.12,6.54,120
mathQuizGame26.smt2,1.49,28.01,7.24,120
mathQuizGame27.smt2,2.83,57.99,7.31,120
mathQuizGame28.smt2,1.56,30.68,7.31,120
mathQuizGame29.smt2,2.45,47.04,7.99,120
mathQuizGame30.smt2,1.51,30.3,7.21,120
mathQuizGame31.smt2,2.27,50.45,6.76,120
