,a-str,,,,cvc5,,,,ostrich,,,,z3-noodler
filename,real,user,sys,mem,real,user,sys,mem,real,user,sys,mem,real,user,sys,mem
benchmark_0249,,,,,,,,,12.49,12.19,0.26,722344,0.09,0.06,0.01,31324,
benchmark_0450,,,,,,,,,12.22,11.91,0.25,706524,0.09,0.06,0.02,31380,
benchmark_0040,,,,,,,,,12.56,12.13,0.28,724184,0.09,0.06,0.01,31396,
benchmark_0203,,,,,,,,,12.24,11.71,0.25,720364,0.09,0.06,0.01,31388,
benchmark_0363,,,,,,,,,11.91,11.53,0.33,711600,0.09,0.06,0.01,31376,
benchmark_0101,,,,,,,,,12.54,12.15,0.26,726596,0.09,0.05,0.02,31412,
benchmark_0422,,,,,,,,,7.60,7.33,0.23,681696,0.08,0.05,0.01,31348,
benchmark_0299,,,,,,,,,12.28,11.77,0.26,715496,0.08,0.05,0.01,31352,
benchmark_0044,,,,,,,,,12.55,12.21,0.25,708412,0.09,0.05,0.02,31308,
benchmark_0482,,,,,,,,,11.96,11.64,0.24,717116,0.09,0.05,0.02,31304,
benchmark_0306,,,,,,,,,11.79,11.38,0.29,726856,0.13,0.05,0.02,31408,
benchmark_0050,,,,,,,,,11.82,11.42,0.26,706392,0.08,0.06,0.01,31396,
benchmark_0091,,,,,,,,,11.89,11.52,0.28,708072,0.10,0.05,0.02,31272,
benchmark_0257,,,,,,,,,12.24,11.77,0.25,716532,0.11,0.05,0.02,31368,
benchmark_0042,,,,,,,,,12.24,11.93,0.26,715280,0.11,0.06,0.01,31340,
benchmark_0089,,,,,,,,,12.34,11.98,0.31,711712,0.11,0.05,0.02,31360,
benchmark_0066,,,,,,,,,11.73,11.45,0.23,715568,0.10,0.05,0.02,31316,
benchmark_0230,,,,,,,,,11.95,11.67,0.24,706680,0.10,0.06,0.02,31380,
benchmark_0103,,,,,,,,,12.34,11.85,0.31,717992,0.10,0.05,0.02,31392,
benchmark_0176,,,,,,,,,12.57,11.89,0.28,704460,0.09,0.05,0.02,31420,
benchmark_0401,,,,,,,,,12.39,11.72,0.23,716116,0.08,0.05,0.02,31376,
benchmark_0172,,,,,,,,,12.39,12.07,0.25,721920,0.08,0.05,0.02,31400,
benchmark_0341,,,,,,,,,12.44,12.14,0.23,734576,0.09,0.06,0.02,31280,
benchmark_0392,,,,,,,,,17.75,17.36,0.28,717724,0.10,0.06,0.01,31304,
benchmark_0030,,,,,,,,,8.79,8.48,0.22,680204,0.09,0.05,0.02,31356,
benchmark_0359,,,,,,,,,11.90,11.57,0.24,711200,0.10,0.06,0.01,31352,
benchmark_0175,,,,,,,,,17.02,16.66,0.26,705352,0.10,0.06,0.01,31472,
benchmark_0415,,,,,,,,,12.47,12.14,0.26,722992,0.10,0.06,0.01,31428,
benchmark_0491,,,,,,,,,12.51,12.16,0.25,706572,0.09,0.05,0.02,31480,
benchmark_0227,,,,,,,,,12.46,12.12,0.24,705900,0.10,0.06,0.02,31408,
benchmark_0282,,,,,,,,,12.33,11.99,0.25,709256,0.11,0.06,0.02,31428,
benchmark_0319,,,,,,,,,12.25,11.88,0.28,717280,0.13,0.06,0.02,31412,
benchmark_0164,,,,,,,,,20.79,20.42,0.30,724800,0.09,0.06,0.01,31356,
benchmark_0445,,,,,,,,,12.54,12.15,0.29,708184,0.08,0.06,0.02,31272,
benchmark_0167,,,,,,,,,12.32,12.01,0.27,715100,0.08,0.05,0.02,31368,
benchmark_0343,,,,,,,,,12.52,12.24,0.24,711480,0.07,0.05,0.01,31400,
benchmark_0457,,,,,,,,,12.10,11.73,0.27,726576,0.08,0.06,0.02,31432,
benchmark_0179,,,,,,,,,8.54,8.18,0.21,681108,0.08,0.06,0.01,31352,
benchmark_0467,,,,,,,,,12.33,12.01,0.26,714548,0.08,0.06,0.02,31356,
benchmark_0454,,,,,,,,,12.27,11.94,0.28,717404,0.08,0.05,0.02,31448,
benchmark_0161,,,,,,,,,17.34,17.01,0.27,719544,0.08,0.06,0.01,31344,
benchmark_0106,,,,,,,,,17.83,17.49,0.26,714148,0.08,0.06,0.01,31360,
benchmark_0021,,,,,,,,,12.48,12.18,0.25,734164,0.08,0.05,0.02,31380,
benchmark_0156,,,,,,,,,12.56,12.27,0.24,714848,0.08,0.05,0.02,31360,
benchmark_0399,,,,,,,,,12.29,11.97,0.28,701772,0.08,0.05,0.02,31360,
benchmark_0307,,,,,,,,,12.40,12.08,0.28,723888,0.08,0.05,0.02,31420,
benchmark_0317,,,,,,,,,12.26,11.98,0.23,720200,0.08,0.05,0.02,31360,
benchmark_0155,,,,,,,,,12.29,11.99,0.25,707260,0.07,0.04,0.02,31252,
benchmark_0423,,,,,,,,,12.07,11.81,0.22,707256,0.08,0.06,0.01,31428,
benchmark_0364,,,,,,,,,12.07,11.76,0.27,721196,0.09,0.05,0.02,31404,
benchmark_0334,,,,,,,,,20.52,20.14,0.32,721540,0.10,0.05,0.01,31268,
benchmark_0497,,,,,,,,,11.88,11.57,0.25,716808,0.09,0.06,0.02,31396,
benchmark_0192,,,,,,,,,12.36,12.00,0.26,718284,0.10,0.05,0.02,31388,
benchmark_0417,,,,,,,,,11.98,11.60,0.26,715588,0.10,0.06,0.02,31440,
benchmark_0391,,,,,,,,,11.68,11.29,0.27,728672,0.10,0.05,0.02,31392,
benchmark_0006,,,,,,,,,11.98,11.66,0.28,710560,0.09,0.05,0.02,31380,
benchmark_0406,,,,,,,,,11.94,11.65,0.24,714960,0.09,0.06,0.01,31364,
benchmark_0349,,,,,,,,,11.83,11.54,0.24,704944,0.09,0.05,0.02,31360,
benchmark_0486,,,,,,,,,12.15,11.88,0.23,708748,0.10,0.06,0.01,31256,
benchmark_0123,,,,,,,,,20.56,20.19,0.30,724616,0.09,0.06,0.01,31364,
benchmark_0431,,,,,,,,,12.33,11.98,0.28,721280,0.08,0.05,0.01,31356,
benchmark_0024,,,,,,,,,8.04,7.77,0.23,680924,0.08,0.05,0.01,31340,
benchmark_0138,,,,,,,,,8.71,8.44,0.22,674660,0.09,0.05,0.02,31336,
benchmark_0027,,,,,,,,,11.97,11.69,0.24,713920,0.09,0.06,0.01,31368,
benchmark_0247,,,,,,,,,12.29,11.87,0.25,724588,0.10,0.05,0.02,31372,
benchmark_0046,,,,,,,,,12.02,11.71,0.23,711276,0.09,0.06,0.02,31396,
benchmark_0120,,,,,,,,,7.45,7.16,0.21,677572,0.10,0.06,0.01,31344,
benchmark_0193,,,,,,,,,12.24,11.96,0.23,718532,0.09,0.06,0.01,31400,
benchmark_0174,,,,,,,,,7.71,7.41,0.22,686796,0.09,0.06,0.01,31348,
benchmark_0198,,,,,,,,,12.21,11.86,0.26,725340,0.10,0.06,0.02,31472,
benchmark_0036,,,,,,,,,11.50,11.17,0.24,724360,0.10,0.05,0.02,31368,
benchmark_0153,,,,,,,,,7.28,7.01,0.19,684768,0.09,0.06,0.02,31400,
benchmark_0274,,,,,,,,,11.71,11.41,0.22,709644,0.10,0.06,0.02,31268,
benchmark_0093,,,,,,,,,11.93,11.57,0.26,713936,0.10,0.05,0.01,31368,
benchmark_0189,,,,,,,,,12.46,12.13,0.24,721184,0.09,0.07,0.01,31308,
benchmark_0068,,,,,,,,,12.43,12.10,0.26,715460,0.09,0.05,0.02,31336,
benchmark_0012,,,,,,,,,12.53,12.24,0.25,726672,0.09,0.06,0.02,31364,
benchmark_0246,,,,,,,,,12.51,12.18,0.29,724056,0.09,0.06,0.02,31428,
benchmark_0358,,,,,,,,,11.88,11.56,0.26,716856,0.09,0.06,0.01,31344,
benchmark_0039,,,,,,,,,12.42,12.12,0.25,718328,0.09,0.06,0.02,31368,
benchmark_0296,,,,,,,,,11.93,11.62,0.26,714812,0.09,0.06,0.01,31424,
benchmark_0250,,,,,,,,,12.42,12.11,0.26,713092,0.10,0.05,0.02,31408,
benchmark_0074,,,,,,,,,12.22,11.89,0.28,715312,0.11,0.06,0.02,31376,
benchmark_0322,,,,,,,,,8.90,8.61,0.25,696200,0.09,0.06,0.02,31408,
benchmark_0206,,,,,,,,,7.29,7.05,0.20,679216,0.10,0.06,0.02,31340,
benchmark_0328,,,,,,,,,18.52,18.19,0.25,716264,0.09,0.06,0.01,31500,
benchmark_0184,,,,,,,,,17.84,17.53,0.25,716856,0.09,0.05,0.02,31384,
benchmark_0142,,,,,,,,,12.28,11.96,0.27,718928,0.09,0.05,0.02,31428,
benchmark_0049,,,,,,,,,12.22,11.94,0.24,711572,0.12,0.06,0.01,31404,
benchmark_0372,,,,,,,,,12.18,11.85,0.27,721228,0.11,0.06,0.02,31388,
benchmark_0128,,,,,,,,,12.15,11.87,0.23,708320,0.10,0.06,0.02,31344,
benchmark_0347,,,,,,,,,11.94,11.63,0.27,712524,0.10,0.05,0.02,31356,
benchmark_0095,,,,,,,,,11.88,11.59,0.24,717508,0.09,0.06,0.01,31396,
benchmark_0463,,,,,,,,,12.48,12.20,0.24,717708,0.10,0.06,0.02,31384,
benchmark_0010,,,,,,,,,11.90,11.63,0.23,696056,0.10,0.06,0.02,31380,
benchmark_0386,,,,,,,,,16.59,16.26,0.27,714236,0.10,0.06,0.01,31372,
benchmark_0134,,,,,,,,,7.52,7.28,0.21,684908,0.10,0.06,0.02,31368,
benchmark_0025,,,,,,,,,12.50,12.18,0.26,714928,0.10,0.06,0.02,31460,
benchmark_0488,,,,,,,,,12.49,12.13,0.27,721824,0.10,0.06,0.02,31276,
benchmark_0229,,,,,,,,,12.21,11.88,0.28,715904,0.10,0.05,0.02,31380,
benchmark_0033,,,,,,,,,12.23,11.70,0.49,714892,0.10,0.05,0.02,31292,
benchmark_0350,,,,,,,,,12.35,11.79,0.51,707976,0.10,0.05,0.02,31396,
benchmark_0004,,,,,,,,,12.37,11.77,0.54,720660,0.10,0.05,0.02,31356,
benchmark_0304,,,,,,,,,12.73,12.14,0.54,699048,0.10,0.06,0.01,31400,
benchmark_0447,,,,,,,,,20.86,20.20,0.59,721184,0.10,0.06,0.02,31300,
benchmark_0294,,,,,,,,,21.07,20.45,0.55,705160,0.10,0.05,0.02,31400,
benchmark_0345,,,,,,,,,12.00,11.60,0.29,708148,0.10,0.06,0.01,31308,
benchmark_0125,,,,,,,,,12.55,11.93,0.57,708848,0.08,0.06,0.02,31380,
benchmark_0133,,,,,,,,,12.26,11.75,0.46,689708,0.09,0.06,0.02,31296,
benchmark_0171,,,,,,,,,12.21,11.63,0.53,706700,0.10,0.06,0.02,31256,
benchmark_0361,,,,,,,,,20.73,20.08,0.59,717568,0.10,0.05,0.02,31384,
benchmark_0115,,,,,,,,,12.48,11.95,0.48,710332,0.09,0.06,0.01,31380,
benchmark_0311,,,,,,,,,12.23,11.91,0.27,715788,0.10,0.06,0.02,31380,
benchmark_0208,,,,,,,,,12.38,12.10,0.24,703072,0.09,0.06,0.02,31300,
benchmark_0205,,,,,,,,,12.26,11.74,0.48,702332,0.10,0.06,0.02,31308,
benchmark_0102,,,,,,,,,21.33,20.61,0.65,716820,0.09,0.06,0.01,31400,
benchmark_0058,,,,,,,,,20.68,20.08,0.54,712916,0.09,0.06,0.02,31384,
benchmark_0360,,,,,,,,,17.15,16.56,0.54,699624,0.10,0.06,0.02,31484,
benchmark_0370,,,,,,,,,12.34,11.81,0.49,704468,0.10,0.06,0.01,31372,
benchmark_0455,,,,,,,,,12.15,11.56,0.55,719540,0.09,0.05,0.02,31380,
benchmark_0051,,,,,,,,,12.33,11.80,0.49,715136,0.10,0.06,0.02,31420,
benchmark_0122,,,,,,,,,12.62,12.06,0.51,696980,0.10,0.06,0.02,31384,
benchmark_0239,,,,,,,,,12.41,11.84,0.52,712952,0.10,0.06,0.01,31380,
benchmark_0297,,,,,,,,,17.32,17.04,0.23,701780,0.10,0.06,0.02,31336,
benchmark_0270,,,,,,,,,18.08,17.47,0.55,711804,0.10,0.06,0.02,31376,
benchmark_0055,,,,,,,,,21.33,20.68,0.58,719852,0.10,0.06,0.02,31492,
benchmark_0374,,,,,,,,,12.17,11.64,0.49,702828,0.09,0.06,0.01,31348,
benchmark_0088,,,,,,,,,12.00,11.47,0.49,707048,0.10,0.06,0.02,31424,
benchmark_0252,,,,,,,,,12.32,11.77,0.50,716604,0.08,0.05,0.02,31412,
benchmark_0365,,,,,,,,,20.86,20.15,0.64,721104,0.09,0.06,0.01,31424,
benchmark_0377,,,,,,,,,12.23,11.68,0.50,703960,0.10,0.05,0.02,31400,
benchmark_0494,,,,,,,,,12.17,11.65,0.48,702688,0.09,0.06,0.01,31424,
benchmark_0145,,,,,,,,,18.31,17.95,0.27,714300,0.09,0.06,0.02,31348,
benchmark_0188,,,,,,,,,12.31,11.96,0.26,710732,0.08,0.05,0.02,31396,
benchmark_0262,,,,,,,,,18.53,18.16,0.28,705068,0.10,0.05,0.02,31400,
benchmark_0160,,,,,,,,,11.98,11.67,0.27,705444,0.09,0.06,0.02,31392,
benchmark_0204,,,,,,,,,11.78,11.46,0.27,714468,0.09,0.06,0.02,31368,
benchmark_0124,,,,,,,,,12.05,11.74,0.26,715040,0.09,0.06,0.01,31308,
benchmark_0022,,,,,,,,,16.86,16.51,0.30,704752,0.09,0.06,0.01,31300,
benchmark_0407,,,,,,,,,11.77,11.49,0.24,716764,0.11,0.06,0.02,31408,
benchmark_0071,,,,,,,,,11.77,11.44,0.29,706540,0.09,0.06,0.02,31388,
benchmark_0079,,,,,,,,,12.12,11.81,0.26,714460,0.09,0.05,0.02,31300,
benchmark_0087,,,,,,,,,11.91,11.62,0.24,714204,0.09,0.06,0.01,31364,
benchmark_0396,,,,,,,,,16.44,16.09,0.30,706980,0.10,0.06,0.01,31356,
benchmark_0260,,,,,,,,,11.82,11.51,0.27,724800,0.09,0.05,0.02,31352,
benchmark_0371,,,,,,,,,11.67,11.38,0.23,706996,0.10,0.06,0.01,31392,
benchmark_0416,,,,,,,,,11.92,11.62,0.26,716408,0.10,0.06,0.02,31308,
benchmark_0220,,,,,,,,,11.81,11.50,0.26,722016,0.10,0.06,0.02,31464,
benchmark_0435,,,,,,,,,11.98,11.69,0.25,700456,0.08,0.06,0.02,31352,
benchmark_0330,,,,,,,,,15.43,15.12,0.26,709272,0.09,0.05,0.02,31332,
benchmark_0404,,,,,,,,,11.81,11.51,0.26,721796,0.09,0.05,0.02,31320,
benchmark_0421,,,,,,,,,11.72,11.43,0.25,714592,0.09,0.06,0.01,31468,
