,bass,,,,cvc5,,,,ostrich,,,,z3-noodler
filename,real,user,sys,mem,real,user,sys,mem,real,user,sys,mem,real,user,sys,mem
benchmark_0249,,,,,,,,,4.70,3.52,0.16,404656,0.06,0.04,0.01,31456,
benchmark_0450,,,,,,,,,4.79,3.56,0.19,420732,0.07,0.04,0.02,31392,
benchmark_0040,,,,,,,,,4.62,3.42,0.16,385244,0.06,0.04,0.01,31424,
benchmark_0203,,,,,,,,,4.88,3.95,0.15,426080,0.06,0.04,0.02,31424,
benchmark_0363,,,,,,,,,4.16,3.42,0.12,399092,0.07,0.05,0.01,31432,
benchmark_0101,,,,,,,,,4.25,3.53,0.13,410228,0.06,0.03,0.02,31404,
benchmark_0422,,,,,,,,,4.50,3.70,0.17,396264,0.06,0.04,0.02,31404,
benchmark_0299,,,,,,,,,4.76,3.95,0.17,407424,0.06,0.04,0.01,31428,
benchmark_0044,,,,,,,,,3.81,3.65,0.13,411712,0.07,0.04,0.02,31440,
benchmark_0482,,,,,,,,,3.90,3.75,0.12,416080,0.06,0.04,0.01,31420,
benchmark_0306,,,,,,,,,3.92,3.74,0.15,420292,0.06,0.04,0.01,31400,
benchmark_0050,,,,,,,,,3.75,3.56,0.15,395184,0.07,0.05,0.01,31444,
benchmark_0091,,,,,,,,,3.69,3.51,0.15,394436,0.07,0.04,0.02,31444,
benchmark_0257,,,,,,,,,3.79,3.61,0.15,410756,0.06,0.04,0.01,31452,
benchmark_0042,,,,,,,,,3.89,3.73,0.12,399532,0.07,0.05,0.01,31432,
benchmark_0089,,,,,,,,,3.64,3.45,0.16,401208,0.07,0.04,0.01,31400,
benchmark_0066,,,,,,,,,3.78,3.58,0.16,407036,0.07,0.05,0.01,31424,
benchmark_0230,,,,,,,,,3.76,3.56,0.16,408028,0.07,0.05,0.01,31424,
benchmark_0103,,,,,,,,,3.77,3.59,0.15,413220,0.07,0.04,0.02,31444,
benchmark_0176,,,,,,,,,3.72,3.53,0.15,401588,0.07,0.05,0.02,31420,
benchmark_0401,,,,,,,,,3.83,3.66,0.14,406744,0.07,0.05,0.02,31476,
benchmark_0172,,,,,,,,,3.73,3.53,0.17,426976,0.06,0.04,0.01,31420,
