,a-str,,,,cvc5,,,,ostrich,,,,z3-noodler
filename,real,user,sys,mem,real,user,sys,mem,real,user,sys,mem,real,user,sys,mem
01_track_1,0.52,0.46,0.04,67096,0.03,0.01,0.00,6320,2.56,1.34,0.10,185312,0.59,0.04,0.01,24444,
01_track_10,9.13,8.91,0.19,488204,0.05,0.02,0.01,8108,23.28,21.80,0.34,735544,0.63,0.05,0.02,28548,
01_track_100,,,,,,,,,9.08,7.68,0.27,683060,0.62,0.05,0.02,28088,
01_track_101,,,,,0.05,0.02,0.01,8180,,,,,0.45,0.04,0.03,28160,
01_track_102,1.13,1.04,0.08,135364,0.04,0.01,0.00,7628,2.64,1.65,0.11,216892,0.44,0.04,0.02,27308,
01_track_103,,,,,0.04,0.01,0.01,7524,22.00,20.76,0.33,743024,0.06,0.04,0.01,24484,
01_track_104,0.94,0.87,0.05,105420,0.04,0.02,0.00,7848,3.74,2.94,0.13,296912,0.06,0.03,0.02,27716,
01_track_105,,,,,0.03,0.01,0.01,7276,30.24,29.18,0.43,749592,0.05,0.03,0.01,24460,
01_track_106,3.16,3.03,0.11,296476,0.04,0.01,0.01,8076,2.88,2.40,0.10,244088,0.07,0.04,0.01,28108,
01_track_107,1.88,1.78,0.08,238748,0.04,0.01,0.00,7492,18.87,18.10,0.33,769236,0.05,0.04,0.00,24480,
01_track_108,2.79,2.67,0.10,259812,0.04,0.01,0.00,7288,1.78,1.68,0.08,212028,0.05,0.03,0.01,24468,
01_track_109,,,,,0.06,0.04,0.00,9200,42.95,42.36,0.47,782424,0.09,0.06,0.02,32196,
01_track_11,0.77,0.71,0.04,88716,0.04,0.01,0.01,7916,3.30,3.18,0.10,238340,0.05,0.03,0.01,27844,
01_track_110,,,,,0.05,0.01,0.01,8064,,,,,0.06,0.04,0.01,28124,
01_track_111,,,,,,,,,56.18,55.55,0.48,819324,0.08,0.05,0.02,29772,
01_track_112,0.54,0.50,0.04,67028,0.04,0.01,0.00,7460,2.04,1.94,0.08,223268,0.08,0.03,0.01,24464,
01_track_113,,,,,0.04,0.02,0.00,8124,4.28,4.10,0.15,319792,0.06,0.05,0.00,28108,
01_track_114,3.42,3.29,0.11,291704,0.03,0.01,0.00,7504,15.93,15.57,0.30,739768,0.05,0.03,0.01,24484,
01_track_115,0.65,0.60,0.04,77628,0.04,0.02,0.00,7720,2.65,2.54,0.10,228084,0.06,0.04,0.01,27708,
01_track_116,1.19,1.11,0.07,124740,0.03,0.02,0.00,7912,3.38,3.25,0.11,272144,0.06,0.04,0.01,27900,
01_track_117,,,,,0.04,0.01,0.01,7948,48.64,47.70,0.81,793184,0.06,0.04,0.01,27912,
01_track_118,,,,,0.04,0.01,0.00,7520,26.69,26.00,0.61,752704,0.05,0.03,0.01,24476,
01_track_119,0.55,0.49,0.04,63904,0.04,0.01,0.00,7244,4.05,3.91,0.12,260000,0.05,0.03,0.01,24448,
01_track_12,,,,,0.04,0.01,0.00,7540,10.96,10.51,0.41,718336,0.05,0.03,0.01,24488,
01_track_120,3.17,2.97,0.19,387768,0.04,0.02,0.00,8072,7.31,6.89,0.40,717656,0.07,0.05,0.01,28176,
01_track_121,1.04,0.97,0.05,100332,0.04,0.01,0.00,7288,1.72,1.59,0.12,206812,0.05,0.03,0.01,24464,
01_track_122,,,,,0.04,0.02,0.00,8112,76.81,76.11,0.49,831876,0.07,0.05,0.02,28512,
01_track_123,,,,,0.04,0.02,0.00,8312,3.91,3.77,0.11,273680,0.07,0.04,0.01,28384,
01_track_124,1.65,1.56,0.08,235308,0.03,0.01,0.01,7504,37.34,36.88,0.36,799928,0.05,0.03,0.01,24480,
01_track_125,,,,,0.03,0.02,0.00,7852,11.69,11.31,0.33,717760,0.06,0.04,0.01,27956,
01_track_126,1.52,1.43,0.06,202212,0.04,0.02,0.00,7984,3.73,3.57,0.13,298520,0.06,0.04,0.01,27936,
01_track_127,1.74,1.60,0.12,224684,0.04,0.01,0.00,7520,23.86,23.33,0.47,738508,0.05,0.04,0.01,24464,
01_track_128,0.47,0.43,0.03,66204,0.04,0.01,0.00,6316,1.36,1.28,0.07,185388,0.05,0.03,0.01,24444,
01_track_129,0.51,0.47,0.03,68676,0.04,0.01,0.01,6316,1.43,1.35,0.06,186472,0.05,0.03,0.01,24444,
01_track_13,0.64,0.61,0.03,84604,0.04,0.02,0.00,7460,2.84,2.69,0.12,254220,0.05,0.03,0.01,24468,
01_track_130,0.56,0.51,0.03,69848,0.03,0.01,0.01,7296,1.65,1.55,0.09,212044,0.05,0.03,0.01,24452,
01_track_131,,,,,0.04,0.02,0.01,8000,59.01,58.44,0.42,776052,0.07,0.05,0.01,28196,
01_track_132,2.39,2.22,0.15,254668,0.05,0.01,0.01,7996,101.90,100.63,1.01,899876,0.06,0.04,0.01,28048,
01_track_133,116.09,115.27,0.54,920800,0.04,0.02,0.00,8060,2.86,2.71,0.13,256172,0.07,0.05,0.01,28304,
01_track_134,,,,,0.03,0.01,0.00,7684,48.01,47.48,0.40,788588,0.05,0.03,0.01,24492,
01_track_135,,,,,,,,,5.24,5.00,0.21,328784,0.28,0.15,0.03,57848,
